latitude,longitude,elevation_m,mean_dni,mean_dhi,mean_ghi_proxy,mean_temp
40.05,-105.22,1590,215.88687214611872,69.27054794520548,285.1574200913242,10.753470319634703
40.01,-105.22,1620,213.70251141552512,71.47659817351598,285.1791095890411,10.55326484018265
39.97,-105.22,1696,221.01084474885846,67.1329908675799,288.14383561643837,9.976392694063929
39.93,-105.22,1772,221.72009132420092,69.05650684931507,290.776598173516,9.679657534246575
40.25,-105.18,1601,218.5208904109589,66.66929223744292,285.19018264840184,10.709052511415527
40.21,-105.18,1595,216.7716894977169,67.28824200913242,284.0599315068493,10.828173515981735
40.17,-105.18,1550,221.94292237442923,65.3230593607306,287.2659817351598,11.038630136986301
40.13,-105.18,1550,218.22545662100455,68.18630136986302,286.41175799086756,11.305239726027397
40.09,-105.18,1559,223.23995433789955,67.04212328767123,290.28207762557076,11.03027397260274
40.05,-105.18,1576,219.08561643835617,68.14075342465753,287.2263698630137,10.866917808219178
40.01,-105.18,1638,230.12819634703197,63.0796803652968,293.20787671232875,10.301404109589042
39.97,-105.18,1697,217.32511415525113,67.74988584474886,285.075,10.120913242009133
39.93,-105.18,1732,218.96940639269405,68.34132420091325,287.31073059360733,9.877111872146118
40.25,-105.14,1570,224.82591324200914,64.67157534246576,289.4974885844749,10.675308219178083
40.21,-105.14,1563,224.49988584474886,64.35251141552511,288.85239726027396,10.751073059360731
40.17,-105.14,1540,223.3428082191781,64.92134703196346,288.2641552511416,11.263618721461187
40.13,-105.14,1532,222.44246575342467,65.23356164383561,287.67602739726027,11.173504566210045
40.09,-105.14,1562,225.74280821917807,64.93219178082192,290.675,10.859634703196347
40.05,-105.14,1570,226.8845890410959,65.2722602739726,292.1568493150685,10.936118721461186
40.01,-105.14,1638,225.85536529680365,65.34189497716895,291.1972602739726,10.534794520547944
39.97,-105.14,1650,230.7695205479452,63.612899543378994,294.3824200913242,10.111974885844749
39.93,-105.14,1678,229.4041095890411,65.06312785388128,294.4672374429224,10.056529680365296
40.25,-105.1,1567,224.3252283105023,64.71164383561644,289.03687214611875,10.824109589041097
40.21,-105.1,1553,223.33698630136988,65.08938356164384,288.42636986301375,10.989509132420093
40.17,-105.1,1530,231.9853881278539,62.5796803652968,294.5650684931507,11.201929223744294
40.13,-105.1,1519,228.1431506849315,64.45719178082192,292.60034246575344,11.135399543378997
40.09,-105.1,1546,227.736301369863,63.79965753424658,291.5359589041096,11.020228310502285
40.05,-105.1,1562,229.38093607305936,65.02431506849315,294.4052511415525,10.745890410958904
40.01,-105.1,1610,236.55924657534246,62.199543378995436,298.7587899543379,10.18417808219178
39.97,-105.1,1608,229.58744292237444,66.9964611872146,296.58390410958907,10.295616438356165
39.93,-105.1,1652,235.2269406392694,63.842123287671235,299.06906392694066,10.230707762557078
40.25,-105.06,1559,232.59509132420092,63.78333333333333,296.37842465753425,10.843276255707764
40.21,-105.06,1547,233.28470319634704,63.32214611872146,296.60684931506853,10.888938356164385
40.17,-105.06,1528,230.7461187214612,63.58744292237443,294.3335616438356,11.152899543378995
40.13,-105.06,1513,232.25045662100456,63.63367579908676,295.8841324200913,10.919657534246575
40.09,-105.06,1535,230.97488584474885,64.22796803652967,295.20285388127854,10.862043378995434
40.05,-105.06,1563,233.53881278538813,63.38926940639269,296.92808219178085,10.426769406392694
40.01,-105.06,1575,234.36198630136985,64.3087899543379,298.6707762557078,10.24546803652968
39.97,-105.06,1614,235.34771689497717,64.99977168949772,300.3474885844749,10.408333333333333
39.93,-105.06,1641,236.51324200913243,63.37591324200913,299.8891552511416,9.954977168949773
